origin,destination,mode,commodity,vehicle_or_aircraft_type,distance_km,cargo_weight_tonnes,tonne_km,cost_inr,time_hours,co2_kg,environmental_cost_inr,emission_factor_kgco2_per_tkm,base_rate_inr_per_tkm,distance_source
Mumbai,Bengaluru,Air,General Goods,Belly Cargo (Domestic),887.6,20,17751.7,255262.83,6.35,28047.66,200204.23,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Bengaluru,Road,General Goods,>40t,1098.9,50,54945.7,114447.68,28.18,2197.83,15688.09,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Bengaluru,Rail,General Goods,Freight Rake,1153,50,57650,81336.88,32.18,611.09,4361.96,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Udyan Express)
Mumbai,Bengaluru,Air,General Goods,Belly Cargo (Domestic),887.6,50,44379.2,592739.04,6.34,70119.16,500510.56,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Bengaluru,Road,Automobile Parts,12-16t,1098.9,5,5494.6,30129.4,28.4,274.73,1961.01,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Bengaluru,Rail,Automobile Parts,Freight Rake,1153,5,5765,14362.98,31.46,61.11,436.2,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Udyan Express)
Mumbai,Bengaluru,Air,Automobile Parts,Belly Cargo (Domestic),887.6,5,4437.9,109677.2,6.37,7011.92,50051.06,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Bengaluru,Road,Automobile Parts,12-16t,1098.9,10,10989.1,63757.93,26.59,549.46,3922.02,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Bengaluru,Rail,Automobile Parts,Freight Rake,1153,10,11530,30797.47,29.96,122.22,872.39,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Udyan Express)
Mumbai,Bengaluru,Air,Automobile Parts,Belly Cargo (Domestic),887.6,10,8875.8,228385.13,6.19,14023.83,100102.11,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Bengaluru,Road,Automobile Parts,25-40t,1098.9,20,21978.3,79394.41,26.33,879.13,6275.24,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Bengaluru,Rail,Automobile Parts,Freight Rake,1153,20,23060,61309.99,29.77,244.44,1744.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Udyan Express)
Mumbai,Bengaluru,Air,Automobile Parts,Belly Cargo (Domestic),887.6,20,17751.7,433531.23,6.33,28047.66,200204.23,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Bengaluru,Road,Automobile Parts,>40t,1098.9,50,54945.7,196913.66,30.21,2197.83,15688.09,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Bengaluru,Rail,Automobile Parts,Freight Rake,1153,50,57650,149797.32,30.06,611.09,4361.96,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Udyan Express)
Mumbai,Bengaluru,Air,Automobile Parts,Belly Cargo (Domestic),887.6,50,44379.2,1037373.53,6.44,70119.16,500510.56,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Coal,12-16t,807.9,5,4039.5,6578.7,21.94,201.98,1441.7,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Coal,Freight Rake,790,5,3950,3238.76,20.86,41.87,298.87,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Coal,Belly Cargo (Domestic),652.5,5,3262.7,28640.97,5.92,5155.03,36796.64,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Coal,12-16t,807.9,10,8079.0,14320.06,22.19,403.95,2883.4,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Coal,Freight Rake,790,10,7900,6066.84,19.77,83.74,597.74,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Coal,Belly Cargo (Domestic),652.5,10,6525.4,57294.95,5.68,10310.07,73593.27,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Coal,25-40t,807.9,20,16158.0,19837.28,21.11,646.32,4613.44,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Coal,Freight Rake,790,20,15800,13042.96,20.18,167.48,1195.47,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Coal,Belly Cargo (Domestic),652.5,20,13050.7,115785.02,5.7,20620.14,147186.54,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Coal,>40t,807.9,50,40395.1,50777.02,20.42,1615.8,11533.6,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Coal,Freight Rake,790,50,39500,31156.29,19.56,418.7,2988.68,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Coal,Belly Cargo (Domestic),652.5,50,32626.8,258929.5,5.55,51550.34,367966.35,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Cement,12-16t,807.9,5,4039.5,7164.84,22.09,201.98,1441.7,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Cement,Freight Rake,790,5,3950,3055.73,19.76,41.87,298.87,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Cement,Belly Cargo (Domestic),652.5,5,3262.7,27274.37,5.97,5155.03,36796.64,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Cement,12-16t,807.9,10,8079.0,15583.83,21.28,403.95,2883.4,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Cement,Freight Rake,790,10,7900,6212.21,19.52,83.74,597.74,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Cement,Belly Cargo (Domestic),652.5,10,6525.4,51373.99,5.63,10310.07,73593.27,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Cement,25-40t,807.9,20,16158.0,18116.29,19.55,646.32,4613.44,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Cement,Freight Rake,790,20,15800,12941.61,19.87,167.48,1195.47,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Cement,Belly Cargo (Domestic),652.5,20,13050.7,119825.02,5.85,20620.14,147186.54,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Cement,>40t,807.9,50,40395.1,50304.05,19.93,1615.8,11533.6,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Cement,Freight Rake,790,50,39500,34075.31,20.31,418.7,2988.68,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Cement,Belly Cargo (Domestic),652.5,50,32626.8,294004.19,5.87,51550.34,367966.35,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Containerized Goods,12-16t,807.9,5,4039.5,15155.65,21.0,201.98,1441.7,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Containerized Goods,Freight Rake,790,5,3950,6549.3,19.42,41.87,298.87,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Containerized Goods,Belly Cargo (Domestic),652.5,5,3262.7,63823.61,5.8,5155.03,36796.64,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Containerized Goods,12-16t,807.9,10,8079.0,32462.74,20.86,403.95,2883.4,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Containerized Goods,Freight Rake,790,10,7900,12855.19,20.6,83.74,597.74,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Containerized Goods,Belly Cargo (Domestic),652.5,10,6525.4,106827.55,5.57,10310.07,73593.27,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Containerized Goods,25-40t,807.9,20,16158.0,42015.32,20.53,646.32,4613.44,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Containerized Goods,Freight Rake,790,20,15800,29770.99,19.56,167.48,1195.47,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Containerized Goods,Belly Cargo (Domestic),652.5,20,13050.7,247007.41,5.89,20620.14,147186.54,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Containerized Goods,>40t,807.9,50,40395.1,109766.55,20.27,1615.8,11533.6,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Containerized Goods,Freight Rake,790,50,39500,69225.6,20.23,418.7,2988.68,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Containerized Goods,Belly Cargo (Domestic),652.5,50,32626.8,579780.53,6.07,51550.34,367966.35,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,General Goods,12-16t,807.9,5,4039.5,13040.09,20.54,201.98,1441.7,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,General Goods,Freight Rake,790,5,3950,5476.03,20.56,41.87,298.87,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,General Goods,Belly Cargo (Domestic),652.5,5,3262.7,47870.86,6.13,5155.03,36796.64,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,General Goods,12-16t,807.9,10,8079.0,22364.17,20.22,403.95,2883.4,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,General Goods,Freight Rake,790,10,7900,11019.78,19.64,83.74,597.74,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,General Goods,Belly Cargo (Domestic),652.5,10,6525.4,85395.28,5.52,10310.07,73593.27,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,General Goods,25-40t,807.9,20,16158.0,29101.76,21.03,646.32,4613.44,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,General Goods,Freight Rake,790,20,15800,21810.53,19.91,167.48,1195.47,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,General Goods,Belly Cargo (Domestic),652.5,20,13050.7,172897.68,5.96,20620.14,147186.54,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,General Goods,>40t,807.9,50,40395.1,84070.05,21.04,1615.8,11533.6,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,General Goods,Freight Rake,790,50,39500,55330.61,21.2,418.7,2988.68,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,General Goods,Belly Cargo (Domestic),652.5,50,32626.8,483069.74,5.9,51550.34,367966.35,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Automobile Parts,12-16t,807.9,5,4039.5,22691.41,22.67,201.98,1441.7,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Automobile Parts,Freight Rake,790,5,3950,9824.47,20.42,41.87,298.87,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Automobile Parts,Belly Cargo (Domestic),652.5,5,3262.7,87045.56,6.1,5155.03,36796.64,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Automobile Parts,12-16t,807.9,10,8079.0,46837.63,19.74,403.95,2883.4,0.05,2.94,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Automobile Parts,Freight Rake,790,10,7900,18824.13,19.94,83.74,597.74,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Automobile Parts,Belly Cargo (Domestic),652.5,10,6525.4,177517.84,5.86,10310.07,73593.27,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Automobile Parts,25-40t,807.9,20,16158.0,57288.1,19.92,646.32,4613.44,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Automobile Parts,Freight Rake,790,20,15800,40975.01,20.74,167.48,1195.47,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Automobile Parts,Belly Cargo (Domestic),652.5,20,13050.7,368138.65,5.82,20620.14,147186.54,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Hyderabad,Road,Automobile Parts,>40t,807.9,50,40395.1,149357.03,19.77,1615.8,11533.6,0.04,2.0,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Hyderabad,Rail,Automobile Parts,Freight Rake,790,50,39500,92115.04,20.2,418.7,2988.68,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hussain Sagar Express)
Mumbai,Hyderabad,Air,Automobile Parts,Belly Cargo (Domestic),652.5,50,32626.8,815445.79,5.64,51550.34,367966.35,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Coal,12-16t,1533.3,5,7666.6,13181.71,42.24,383.33,2736.22,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Coal,Freight Rake,1508,5,7540,6526.59,26.2,79.92,570.5,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Coal,Belly Cargo (Domestic),1238.5,5,6192.3,57082.75,6.94,9783.81,69836.81,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Coal,12-16t,1533.3,10,15333.3,29699.26,37.88,766.66,5472.44,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Coal,Freight Rake,1508,10,15080,11476.07,26.67,159.85,1141.0,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Coal,Belly Cargo (Domestic),1238.5,10,12384.6,104106.03,6.67,19567.61,139673.63,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Coal,25-40t,1533.3,20,30666.5,43940.03,37.33,1226.66,8755.91,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Coal,Freight Rake,1508,20,30160,25112.87,26.35,319.7,2281.99,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Coal,Belly Cargo (Domestic),1238.5,20,24769.1,209101.17,6.23,39135.23,279347.25,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Coal,>40t,1533.3,50,76666.4,98327.5,38.28,3066.65,21889.78,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Coal,Freight Rake,1508,50,75400,63622.57,26.93,799.24,5704.98,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Coal,Belly Cargo (Domestic),1238.5,50,61922.8,505795.81,6.7,97838.07,698368.13,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Cement,12-16t,1533.3,5,7666.6,13633.18,42.13,383.33,2736.22,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Cement,Freight Rake,1508,5,7540,6450.55,26.13,79.92,570.5,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Cement,Belly Cargo (Domestic),1238.5,5,6192.3,51459.32,6.4,9783.81,69836.81,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Cement,12-16t,1533.3,10,15333.3,27465.99,42.29,766.66,5472.44,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Cement,Freight Rake,1508,10,15080,12096.42,26.04,159.85,1141.0,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Cement,Belly Cargo (Domestic),1238.5,10,12384.6,113995.88,6.67,19567.61,139673.63,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Cement,25-40t,1533.3,20,30666.5,40571.37,38.79,1226.66,8755.91,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Cement,Freight Rake,1508,20,30160,23341.39,25.64,319.7,2281.99,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Cement,Belly Cargo (Domestic),1238.5,20,24769.1,218367.3,6.65,39135.23,279347.25,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Cement,>40t,1533.3,50,76666.4,105801.23,37.47,3066.65,21889.78,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Cement,Freight Rake,1508,50,75400,61907.58,27.11,799.24,5704.98,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Cement,Belly Cargo (Domestic),1238.5,50,61922.8,512857.76,6.7,97838.07,698368.13,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Containerized Goods,12-16t,1533.3,5,7666.6,28205.74,42.31,383.33,2736.22,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Containerized Goods,Freight Rake,1508,5,7540,13396.01,25.32,79.92,570.5,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Containerized Goods,Belly Cargo (Domestic),1238.5,5,6192.3,103707.12,6.59,9783.81,69836.81,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Containerized Goods,12-16t,1533.3,10,15333.3,61670.36,36.77,766.66,5472.44,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Containerized Goods,Freight Rake,1508,10,15080,28407.34,27.07,159.85,1141.0,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Containerized Goods,Belly Cargo (Domestic),1238.5,10,12384.6,220908.42,6.25,19567.61,139673.63,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Containerized Goods,25-40t,1533.3,20,30666.5,91961.44,39.32,1226.66,8755.91,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Containerized Goods,Freight Rake,1508,20,30160,54491.84,26.02,319.7,2281.99,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Containerized Goods,Belly Cargo (Domestic),1238.5,20,24769.1,425073.39,6.81,39135.23,279347.25,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Containerized Goods,>40t,1533.3,50,76666.4,236289.22,37.72,3066.65,21889.78,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Containerized Goods,Freight Rake,1508,50,75400,132746.48,25.7,799.24,5704.98,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Containerized Goods,Belly Cargo (Domestic),1238.5,50,61922.8,1207043.12,6.55,97838.07,698368.13,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,General Goods,12-16t,1533.3,5,7666.6,25569.63,41.62,383.33,2736.22,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,General Goods,Freight Rake,1508,5,7540,9887.29,26.75,79.92,570.5,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,General Goods,Belly Cargo (Domestic),1238.5,5,6192.3,85217.2,6.89,9783.81,69836.81,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,General Goods,12-16t,1533.3,10,15333.3,47606.7,41.35,766.66,5472.44,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,General Goods,Freight Rake,1508,10,15080,19796.21,25.48,159.85,1141.0,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,General Goods,Belly Cargo (Domestic),1238.5,10,12384.6,176398.64,6.94,19567.61,139673.63,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,General Goods,25-40t,1533.3,20,30666.5,67020.58,37.12,1226.66,8755.91,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,General Goods,Freight Rake,1508,20,30160,41270.8,25.6,319.7,2281.99,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,General Goods,Belly Cargo (Domestic),1238.5,20,24769.1,350368.49,6.58,39135.23,279347.25,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,General Goods,>40t,1533.3,50,76666.4,166399.8,38.21,3066.65,21889.78,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,General Goods,Freight Rake,1508,50,75400,97435.71,26.51,799.24,5704.98,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,General Goods,Belly Cargo (Domestic),1238.5,50,61922.8,879368.14,6.34,97838.07,698368.13,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Automobile Parts,12-16t,1533.3,5,7666.6,46416.27,36.46,383.33,2736.22,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Automobile Parts,Freight Rake,1508,5,7540,19724.05,26.53,79.92,570.5,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Automobile Parts,Belly Cargo (Domestic),1238.5,5,6192.3,170460.97,6.46,9783.81,69836.81,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Automobile Parts,12-16t,1533.3,10,15333.3,90864.24,41.35,766.66,5472.44,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Automobile Parts,Freight Rake,1508,10,15080,40882.22,25.99,159.85,1141.0,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Automobile Parts,Belly Cargo (Domestic),1238.5,10,12384.6,291216.43,6.55,19567.61,139673.63,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Automobile Parts,25-40t,1533.3,20,30666.5,126554.77,41.66,1226.66,8755.91,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Automobile Parts,Freight Rake,1508,20,30160,80469.16,25.84,319.7,2281.99,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Automobile Parts,Belly Cargo (Domestic),1238.5,20,24769.1,645198.69,6.51,39135.23,279347.25,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Pune,Road,Automobile Parts,>40t,1533.3,50,76666.4,324607.94,38.77,3066.65,21889.78,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Pune,Rail,Automobile Parts,Freight Rake,1508,50,75400,194509.56,25.1,799.24,5704.98,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Hazrat Nizamuddin-Pune AC Duronto Express)
Delhi,Pune,Air,Automobile Parts,Belly Cargo (Domestic),1238.5,50,61922.8,1594876.66,6.92,97838.07,698368.13,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Delhi,Ahmedabad,Road,Coal,12-16t,1010.6,5,5053.2,9156.03,27.08,252.66,1803.47,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Delhi,Ahmedabad,Rail,Coal,Freight Rake,933,5,4665,3923.89,23.12,49.45,352.97,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Ashram SF Express)
Delhi,Ahmedabad,Air,Coal,Belly Cargo (Domestic),816.3,5,4081.4,36944.28,6.28,6448.6,46030.12,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
